order_id,user_id,order_date,product_id,product_category,product_name,quantity,price_per_unit,payment_method,order_status,Payment_flag
1006,U017,2025-04-15,P328,Kitchen,Knife Set,4,53.51,Credit Card,Returned,CARD
1007,U129,2025-04-23,P786,Home Decor,Wall Clock,5,12.71,Credit Card,Returned,CARD
1008,U102,2025-04-15,P101,Home Decor,Photo Frame,1,46.6,Debit Card,Cancelled,CARD
1013,U140,2025-05-03,P516,Fashion,Sneakers,5,90.64,Credit Card,Cancelled,CARD
1014,U112,2025-04-18,P111,Books,Data Engineering 101,1,93.91,Credit Card,Cancelled,CARD
1025,U042,2025-04-23,P311,Kitchen,Cutting Board,4,16.8,Debit Card,Returned,CARD
1032,U090,2025-04-11,P895,Kitchen,Cutting Board,2,29.79,Credit Card,Cancelled,CARD
1035,U150,2025-04-10,P242,Home Decor,Cushion Cover,2,34.04,Credit Card,Cancelled,CARD
1041,U080,2025-04-23,P171,Kitchen,Toaster,1,81.25,Credit Card,Returned,CARD
1042,U144,2025-04-14,P191,Kitchen,Microwave,1,58.35,Credit Card,Cancelled,CARD
1044,U146,2025-04-27,P553,Fashion,Jacket,1,95.74,Debit Card,Returned,CARD
1047,U035,2025-04-16,P862,Books,Spark for Dummies,2,40.27,Credit Card,Returned,CARD
1048,U043,2025-04-17,P807,Books,Big Data Explained,2,24.86,Credit Card,Returned,CARD
1054,U119,2025-04-17,P173,Kitchen,Knife Set,4,35.34,Debit Card,Cancelled,CARD
1056,U127,2025-04-09,P390,Books,Big Data Explained,5,54.08,Credit Card,Returned,CARD
1065,U025,2025-04-07,P235,Kitchen,Cutting Board,1,88.33,Debit Card,Returned,CARD
1073,U015,2025-05-03,P201,Fashion,Sunglasses,5,62.2,Debit Card,Returned,CARD
1078,U095,2025-04-29,P496,Books,Big Data Explained,3,10.59,Credit Card,Returned,CARD
1080,U019,2025-04-24,P377,Kitchen,Toaster,4,29.61,Credit Card,Returned,CARD
1081,U026,2025-04-21,P585,Fashion,Jacket,4,12.75,Credit Card,Returned,CARD
1086,U115,2025-04-27,P248,Books,Spark for Dummies,1,94.75,Credit Card,Cancelled,CARD
1095,U025,2025-05-03,P891,Kitchen,Cutting Board,2,34.47,Debit Card,Cancelled,CARD
1101,U100,2025-04-15,P511,Fashion,Sunglasses,5,64.28,Credit Card,Returned,CARD
1102,U130,2025-04-10,P131,Fashion,T-Shirt,5,70.46,Credit Card,Cancelled,CARD
1107,U120,2025-04-29,P231,Kitchen,Microwave,5,56.9,Credit Card,Returned,CARD
1109,U035,2025-04-26,P369,Books,Spark for Dummies,2,89.75,Debit Card,Returned,CARD
1110,U078,2025-04-18,P233,Kitchen,Microwave,2,68.11,Debit Card,Cancelled,CARD
1114,U041,2025-05-01,P582,Books,Clean Code,3,92.61,Credit Card,Cancelled,CARD
1120,U135,2025-04-20,P710,Books,Data Engineering 101,2,17.02,Debit Card,Cancelled,CARD
1127,U183,2025-04-09,P549,Home Decor,Photo Frame,4,33.58,Credit Card,Returned,CARD
1134,U056,2025-05-02,P392,Kitchen,Blender,2,28.35,Credit Card,Returned,CARD
1142,U061,2025-04-20,P387,Kitchen,Blender,1,62.61,Debit Card,Cancelled,CARD
1145,U025,2025-04-04,P922,Books,Big Data Explained,5,33.62,Credit Card,Returned,CARD
1154,U149,2025-04-14,P168,Fashion,Jacket,2,30.78,Credit Card,Returned,CARD
1156,U159,2025-04-06,P999,Books,Spark for Dummies,2,13.86,Credit Card,Returned,CARD
1165,U061,2025-04-19,P992,Kitchen,Knife Set,5,92.26,Credit Card,Cancelled,CARD
1170,U063,2025-04-22,P766,Home Decor,Cushion Cover,5,76.79,Credit Card,Cancelled,CARD
1175,U073,2025-04-28,P203,Fashion,Sneakers,4,71.6,Debit Card,Cancelled,CARD
1176,U132,2025-04-11,P189,Electronics,Wireless Mouse,5,72.63,Debit Card,Cancelled,CARD
1194,U079,2025-04-15,P686,Books,Clean Code,3,99.14,Credit Card,Cancelled,CARD
1200,U048,2025-05-01,P840,Kitchen,Toaster,2,45.29,Credit Card,Returned,CARD
1204,U195,2025-04-18,P913,Books,AI Revolution,5,71.97,Debit Card,Returned,CARD
1205,U111,2025-04-08,P273,Fashion,Jeans,4,26.81,Debit Card,Returned,CARD
1214,U099,2025-04-22,P750,Home Decor,Photo Frame,3,63.61,Debit Card,Returned,CARD
1224,U010,2025-04-06,P748,Kitchen,Microwave,2,60.9,Debit Card,Returned,CARD
1229,U086,2025-04-25,P933,Electronics,USB-C Cable,4,22.25,Debit Card,Returned,CARD
1230,U024,2025-04-29,P342,Books,Clean Code,1,31.58,Credit Card,Returned,CARD
1234,U031,2025-04-26,P479,Kitchen,Knife Set,2,53.68,Credit Card,Cancelled,CARD
1243,U179,2025-05-01,P664,Kitchen,Cutting Board,3,53.72,Credit Card,Returned,CARD
1252,U131,2025-04-04,P115,Kitchen,Cutting Board,4,37.87,Credit Card,Cancelled,CARD
1253,U096,2025-04-28,P218,Kitchen,Cutting Board,4,10.03,Credit Card,Cancelled,CARD
1254,U174,2025-04-23,P293,Home Decor,Photo Frame,4,69.34,Debit Card,Cancelled,CARD
1256,U199,2025-04-28,P101,Books,Spark for Dummies,4,50.8,Credit Card,Cancelled,CARD
1257,U020,2025-04-26,P507,Electronics,Power Bank,5,15.04,Credit Card,Cancelled,CARD
1259,U146,2025-05-01,P939,Fashion,Jeans,1,53.69,Credit Card,Returned,CARD
1262,U147,2025-04-23,P447,Electronics,Smartwatch,3,89.26,Debit Card,Returned,CARD
1263,U011,2025-04-10,P830,Books,Clean Code,2,74.11,Credit Card,Cancelled,CARD
1264,U185,2025-04-24,P781,Electronics,USB-C Cable,4,53.58,Debit Card,Cancelled,CARD
1267,U076,2025-04-20,P203,Fashion,Sneakers,2,58.4,Debit Card,Cancelled,CARD
1270,U136,2025-04-10,P271,Electronics,Wireless Mouse,1,66.37,Credit Card,Returned,CARD
1272,U067,2025-04-18,P872,Kitchen,Blender,5,75.95,Credit Card,Cancelled,CARD
1280,U142,2025-05-01,P576,Kitchen,Cutting Board,5,67.84,Credit Card,Returned,CARD
1282,U130,2025-04-06,P141,Books,Spark for Dummies,5,81.78,Debit Card,Cancelled,CARD
1285,U005,2025-04-19,P614,Home Decor,Cushion Cover,4,67.34,Credit Card,Returned,CARD
1293,U049,2025-04-14,P803,Electronics,Smartwatch,2,98.13,Credit Card,Cancelled,CARD
1296,U138,2025-05-03,P453,Kitchen,Microwave,2,71.28,Credit Card,Returned,CARD
1304,U195,2025-04-06,P374,Electronics,USB-C Cable,1,67.65,Credit Card,Cancelled,CARD
1307,U014,2025-04-29,P898,Electronics,Smartwatch,4,32.03,Debit Card,Cancelled,CARD
1312,U059,2025-04-26,P953,Kitchen,Blender,3,76.3,Debit Card,Returned,CARD
1330,U095,2025-05-03,P533,Fashion,Sneakers,5,34.27,Debit Card,Returned,CARD
1333,U196,2025-04-27,P587,Fashion,Jeans,2,49.45,Credit Card,Returned,CARD
