order_id,user_id,order_date,product_id,product_category,product_name,quantity,price_per_unit,payment_method,order_status,total_order_value,running_total
1253,U096,2025-04-28,P218,Kitchen,Cutting Board,4,10.03,Credit Card,Cancelled,55205.36000000007,10.03
1602,U024,2025-04-22,P191,Books,Spark for Dummies,2,10.16,PayPal,Cancelled,55205.36000000007,20.189999999999998
1967,U107,2025-04-08,P643,Kitchen,Cutting Board,5,10.46,Credit Card,Returned,55205.36000000007,30.65
1727,U074,2025-04-24,P697,Fashion,Sunglasses,4,10.51,Debit Card,Processing,55205.36000000007,41.16
1078,U095,2025-04-29,P496,Books,Big Data Explained,3,10.59,Credit Card,Returned,55205.36000000007,51.75
1958,U168,2025-04-13,P125,Fashion,Jacket,2,10.59,Debit Card,Processing,55205.36000000007,62.34
1431,U054,2025-04-22,P603,Electronics,Wireless Mouse,3,10.6,UPI,Processing,55205.36000000007,72.94
1941,U120,2025-04-23,P225,Books,Data Engineering 101,2,10.62,PayPal,Delivered,55205.36000000007,83.56
1682,U166,2025-04-27,P103,Home Decor,Wall Art,2,10.63,Credit Card,Returned,55205.36000000007,94.19
1788,U098,2025-04-12,P461,Books,Data Engineering 101,4,10.88,Credit Card,Processing,55205.36000000007,105.07
1321,U091,2025-05-03,P416,Home Decor,Wall Art,4,11.29,UPI,Cancelled,55205.36000000007,116.35999999999999
1279,U173,2025-04-16,P545,Electronics,Wireless Mouse,5,11.36,UPI,Cancelled,55205.36000000007,127.71999999999998
1592,U101,2025-05-02,P464,Home Decor,Wall Art,5,11.57,Credit Card,Delivered,55205.36000000007,139.29
1356,U038,2025-04-20,P392,Home Decor,Wall Art,5,11.81,PayPal,Processing,55205.36000000007,151.1
1379,U005,2025-04-18,P122,Fashion,Sneakers,2,11.94,UPI,Returned,55205.36000000007,163.04
1872,U117,2025-04-18,P134,Kitchen,Microwave,3,12,UPI,Returned,55205.36000000007,175.04
1741,U158,2025-04-29,P590,Electronics,USB-C Cable,5,12.07,UPI,Processing,55205.36000000007,187.10999999999999
1443,U114,2025-04-15,P145,Electronics,Power Bank,3,12.24,UPI,Returned,55205.36000000007,199.35
1812,U177,2025-04-14,P284,Electronics,Wireless Mouse,4,12.33,Credit Card,Processing,55205.36000000007,211.68
1525,U157,2025-04-21,P564,Books,AI Revolution,5,12.36,PayPal,Processing,55205.36000000007,224.04000000000002
1219,U159,2025-04-14,P501,Kitchen,Knife Set,4,12.39,Credit Card,Processing,55205.36000000007,236.43
1021,U051,2025-04-30,P416,Electronics,Power Bank,2,12.65,UPI,Processing,55205.36000000007,249.08
1007,U129,2025-04-23,P786,Home Decor,Wall Clock,5,12.71,Credit Card,Returned,55205.36000000007,261.79
1081,U026,2025-04-21,P585,Fashion,Jacket,4,12.75,Credit Card,Returned,55205.36000000007,274.54
